Título,Detalles,Precio_limpio,Colonia_limpia,M2_Construccion,Precio_por_M2,Precio_Promedio_M2_Colonia,Calificacion_Rentabilidad
Casa dúplex en venta las águilas 3 recamaras 2 baños Zapopan,"Superficie: 93.0m², Construcción: 80.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 1.0",2600000.0,aguilas zapopan,80.0,32500.0,26784.164424789393,Muy Baja Rentabilidad
Casa en esquina Las Aguilas,"Superficie: 133.0m², Construcción: 180.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 0.0",3920000.0,aguilas zapopan,180.0,21777.777777777777,26784.164424789393,Alta Rentabilidad
Casa en Venta en Las Aguilas - Río Cuitzamala 5781,"Superficie: 189.0m², Construcción: 224.0m², Recámaras: 3.0, Baños: 1.0, Estacionamientos: 2.0",6200000.0,aguilas zapopan,224.0,27678.571428571428,26784.164424789393,Rentabilidad Promedio
Casa en Venta en Las Aguilas - Río Tuito,"Superficie: 133.0m², Construcción: 114.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",4600000.0,aguilas zapopan,114.0,40350.87719298246,26784.164424789393,Muy Baja Rentabilidad
"CASA EN VENTA EN LAS AGUILAS, ZAPOPAN","Superficie: 133.0m², Construcción: 213.58m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 1.0",4140000.0,aguilas zapopan,213.58,19383.837437962356,26784.164424789393,Muy Alta Rentabilidad
Casa en Venta en Las Aguilas,"Superficie: 132.0m², Construcción: 186.0m², Recámaras: 4.0, Baños: 2.0, Estacionamientos: 1.0",5500000.0,aguilas zapopan,186.0,29569.892473118278,26784.164424789393,Baja Rentabilidad
"Casa en Las Aguilas, Zapopan, buen estado de conservación","Superficie: 133.0m², Construcción: 190.0m², Recámaras: 3.0, Baños: 1.0, Estacionamientos: 2.0",4700000.0,aguilas zapopan,190.0,24736.842105263157,26784.164424789393,Alta Rentabilidad
Casa en venta en las Águilas,"Superficie: 199.0m², Construcción: 195.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 1.0",4550000.0,aguilas zapopan,195.0,23333.333333333332,26784.164424789393,Alta Rentabilidad
CASA EN VENTA COL. LAS AGUILAS,"Superficie: 216.0m², Construcción: 272.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",5200000.0,aguilas zapopan,272.0,19117.647058823528,26784.164424789393,Muy Alta Rentabilidad
"Venta Casa 3 niveles en las Águilas  Zapopan 6 recámaras $4,800,000","Superficie: 140.0m², Construcción: 244.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",4800000.0,aguilas zapopan,244.0,19672.131147540982,26784.164424789393,Muy Alta Rentabilidad
CASA EN VENTA COL LAS AGUILAS,"Superficie: 133.0m², Construcción: 120.0m², Recámaras: 2.0, Baños: 1.0, Estacionamientos: 2.0",3400000.0,aguilas zapopan,120.0,28333.333333333332,26784.164424789393,Baja Rentabilidad
CASA EN VENTA EN LAS AGUILAS ZAPOPAN,"Superficie: 121.0m², Construcción: 232.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 3.0",5765000.0,aguilas zapopan,232.0,24849.137931034482,26784.164424789393,Alta Rentabilidad
"Casa en Venta en Las Águilas, Zapopan, Jalisco.","Superficie: 133.0m², Construcción: 119.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",4390000.0,aguilas zapopan,119.0,36890.75630252101,26784.164424789393,Muy Baja Rentabilidad
VENTA DE JUICIO HIPOTECARIO EN COLONIA CENTRO DE GUADALAJARA,"Superficie: 120.0m², Construcción: 220.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",3800000.0,alcalde barranquitas guadalajara,220.0,17272.727272727272,15206.802271052456,Baja Rentabilidad
Casa en venta en Alcalde Barranquitas,"Superficie: 251.0m², Construcción: 236.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 1.0",4200000.0,alcalde barranquitas guadalajara,236.0,17796.610169491527,15206.802271052456,Baja Rentabilidad
CASA EN VENTA ALCALDE BARRANQUITAS GUADALAJARA,"Superficie: 98.0m², Construcción: 230.0m², Recámaras: 4.0, Baños: 2.0, Estacionamientos: 1.0",4750000.0,alcalde barranquitas guadalajara,230.0,20652.17391304348,15206.802271052456,Muy Baja Rentabilidad
CASA ALCALDE BARRANQUITAS,"Superficie: 279.0m², Construcción: 576.0m², Recámaras: 12.0, Baños: 5.0, Estacionamientos: 0.0",5650000.0,alcalde barranquitas guadalajara,576.0,9809.027777777777,15206.802271052456,Muy Alta Rentabilidad
INVERSIÓN SEGURA Y RENTABLE EN GUADALAJARA!,"Superficie: 279.0m², Construcción: 576.0m², Recámaras: 13.0, Baños: 8.0, Estacionamientos: 0.0",6050000.0,alcalde barranquitas guadalajara,576.0,10503.472222222223,15206.802271052456,Muy Alta Rentabilidad
"CASA EN EXCLUSIVA ZONA, COL. ALTAMIRA, ZAPOPAN","Superficie: 530.0m², Construcción: 550.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 3.0",24490000.0,altamira zapopan,550.0,44527.27272727273,40400.31330203887,Baja Rentabilidad
"CASA A 5 MINUTOS DE COLOMOS PROVIDENCIA, ALTAMIRA, GUADALAJARA","Superficie: 123.0m², Construcción: 213.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",8950000.0,altamira zapopan,213.0,42018.779342723006,40400.31330203887,Rentabilidad Promedio
Casa en preventa en Altamira,"Superficie: 137.0m², Construcción: 377.0m², Recámaras: 3.0, Baños: 4.0, Estacionamientos: 2.0",13910000.0,altamira zapopan,377.0,36896.55172413793,40400.31330203887,Alta Rentabilidad
Casa en Venta en Altamira - Menhir Norte 545,"Superficie: 402.0m², Construcción: 260.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 3.0",12500000.0,altamira zapopan,260.0,48076.92307692308,40400.31330203887,Baja Rentabilidad
Casa en Venta Zona Altamira a una cuadra de Eva Briseño,"Superficie: 210.0m², Construcción: 340.0m², Recámaras: 3.0, Baños: 4.0, Estacionamientos: 3.0",10500000.0,altamira zapopan,340.0,30882.352941176472,40400.31330203887,Muy Alta Rentabilidad
Casa en venta Colonia Altamira Zapopan Jalisco,"Superficie: 390.0m², Construcción: 355.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 5.0",14200000.0,altamira zapopan,355.0,40000.0,40400.31330203887,Rentabilidad Promedio
PROPIEDAD EN PEDRO MORENO EN LA AMERICANA,"Superficie: 548.0m², Construcción: 575.0m², Recámaras: 10.0, Baños: 0.0, Estacionamientos: 5.0",12000000.0,americana guadalajara,575.0,20869.565217391304,33217.53439239274,Muy Alta Rentabilidad
"CASA CON USO DE SUELO EN COL. AMERICANA, GUADALAJARA, JAL.","Superficie: 347.0m², Construcción: 627.0m², Recámaras: 10.0, Baños: 8.0, Estacionamientos: 6.0",17500000.0,americana guadalajara,627.0,27910.685805422647,33217.53439239274,Alta Rentabilidad
Casa en Venta en Col. Americana,"Superficie: 212.0m², Construcción: 246.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 0.0",4750000.0,americana guadalajara,246.0,19308.943089430893,33217.53439239274,Muy Alta Rentabilidad
Casa uso mixto en venta en Colonia Americana,"Superficie: 659.0m², Construcción: 413.0m², Recámaras: 6.0, Baños: 2.0, Estacionamientos: 1.0",15000000.0,americana guadalajara,413.0,36319.61259079903,33217.53439239274,Baja Rentabilidad
CASONA EN VENTA SOBRE AV. VALLARTA EN LA COLONIA AMERICANA GDL,"Superficie: 907.0m², Construcción: 552.0m², Recámaras: 7.0, Baños: 2.0, Estacionamientos: 2.0",31530000.0,americana guadalajara,552.0,57119.565217391304,33217.53439239274,Muy Baja Rentabilidad
CASA VENTA COL. AMERICANA,"Superficie: 697.0m², Construcción: 353.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",16100000.0,americana guadalajara,353.0,45609.065155807366,33217.53439239274,Muy Baja Rentabilidad
CASA HOTEL EN VENTA EN LA COLONIA AMERICANA,"Superficie: 190.0m², Construcción: 390.0m², Recámaras: 10.0, Baños: 10.0, Estacionamientos: 1.0",10640000.0,americana guadalajara,390.0,27282.05128205128,33217.53439239274,Alta Rentabilidad
Casa En Venta En Americana,"Superficie: 333.0m², Construcción: 261.0m², Recámaras: 5.0, Baños: 4.0, Estacionamientos: 1.0",7495000.0,americana guadalajara,261.0,28716.47509578544,33217.53439239274,Alta Rentabilidad
"VENDO CASA COL. AMERICANA SUPER UBICADA, CERCA DE CHAPU.","Superficie: 270.0m², Construcción: 230.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",10180000.0,americana guadalajara,230.0,44260.86956521739,33217.53439239274,Muy Baja Rentabilidad
"Casa en Venta en Colonia Americana, Guadalajara","Superficie: 493.0m², Construcción: 1003.0m², Recámaras: 3.0, Baños: 1.0, Estacionamientos: 6.0",32000000.0,americana guadalajara,1003.0,31904.287138584248,33217.53439239274,Rentabilidad Promedio
CASA HOTEL EN VENTA EN LA COLONIA AMERICANA,"Superficie: 400.0m², Construcción: 750.0m², Recámaras: 18.0, Baños: 18.0, Estacionamientos: 1.0",23600000.0,americana guadalajara,750.0,31466.666666666668,33217.53439239274,Alta Rentabilidad
